"sample","stromal","immune","estimate","purity"
"CGGA_420",-2100.52231006435,-1125.63006859908,-3226.15237866343,0.991376098624177
"CGGA_457",-2365.31929761364,-1614.96551240814,-3980.28481002177,0.999785191757065
"CGGA_474",-1378.19536243351,-1133.08587185063,-2511.28123428414,0.97219671764004
"CGGA_482",-1438.78098686986,-168.768244573052,-1607.54923144291,0.932682138644362
"CGGA_487",-442.49260101134,378.192980860374,-64.2996201509657,0.82784078744934
"CGGA_492",-395.685449033847,978.435865903047,582.7504168692,0.770909686516956
"CGGA_503",-1326.56629327211,-723.110370256199,-2049.67666352831,0.954111307193961
"CGGA_507",-1453.60446599736,-993.245769097317,-2446.85023509468,0.9699385964678
"CGGA_509",-1806.3178222575,-1095.710224211,-2902.02804646851,0.984021669898877
"CGGA_521",-943.557925975949,448.788038864795,-494.769887111155,0.861611243879409
"CGGA_530",-847.183553041536,426.224016611078,-420.959536430458,0.856061525625475
"CGGA_554",-1429.07471825936,-214.798662826981,-1643.87338108634,0.934592107494371
"CGGA_568",-634.913747363738,1267.12271836659,632.208971002853,0.766265231239755
"CGGA_583",-1477.36054069854,-727.693005694241,-2205.05354639278,0.960692332528106
"CGGA_619",-1541.71269688664,-127.37994312974,-1669.09264001638,0.935902543177587
"CGGA_621",-1646.36891626968,-599.58031389796,-2245.94923016764,0.962341540581073
"CGGA_625",-1515.23739115787,-346.833087515793,-1862.07047867366,0.945504152761181
