,Dataset,Model,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std
63,tidied_integrated_df_9,Deep,0.8459737292975443,0.02579463641538839,0.6895238095238095,0.3662694199381917,0.20818713450292398,0.21974146244553985,0.2713090418353576,0.2346958840837043,0.73510360869494,0.06581284469254922,0.4484867498018909,0.116134647111023
64,tidied_integrated_df_9,SVM,0.7775747192080715,0.05263441638612272,0.42629547233551685,0.09865708191794348,0.598830409356725,0.11498926040823819,0.49421833823049627,0.0964515651655967,0.773329401936213,0.053279548410967464,0.4573314094748727,0.10203638678954281
65,tidied_integrated_df_9,RandomForest,0.83034456501047,0.02147945095560647,0.5587301587301587,0.11670715202953523,0.41345029239766085,0.03036433914794659,0.4678174603174603,0.027021565997820206,0.7883300981211198,0.04079524667521592,0.4829899752636959,0.08171632653544948
66,tidied_integrated_df_9,XGBoost,0.8205025699600228,0.047784813464344,0.5161464139725009,0.13335597180780623,0.47953216374269003,0.09986139979479092,0.4929114372622264,0.11077724531377293,0.7877271610398545,0.020743645934994958,0.4701689700088754,0.04891413265089938
67,tidied_integrated_df_9,LogisticRegression,0.7562535693889206,0.040394977374415206,0.39642156862745104,0.07097404541187774,0.6093567251461989,0.047566548322018114,0.475924713584288,0.04919299400406804,0.7373514669025505,0.030573315693632662,0.4289650329863378,0.0438368822403951
68,tidied_integrated_df_9,NaiveBayes,0.8187511897963068,0.01976710497044499,0.525,0.2626785107312739,0.1309941520467836,0.04428256144477789,0.2054706163401816,0.0694311218400162,0.7371027241305879,0.044082946958288315,0.4472565315906841,0.07027468509804777
69,tidied_integrated_df_9,Ensemble,0.8283457072149247,0.03364959222984833,0.5493589743589744,0.09905278923993155,0.4251461988304094,0.07089301735996137,0.47162555344718526,0.06253583680053615,0.8021363048143233,0.03212611537419734,0.5080866192000906,0.07529240177909413
70,tidied_integrated_df_10,Deep,0.8518560822387207,0.00714539955601889,0.6611102622867329,0.045374156751523155,0.38245614035087716,0.09871442032726457,0.473474801061008,0.06371346069217453,0.7286738906088751,0.04706017395730824,0.407984142135463,0.021653927072135197
71,tidied_integrated_df_10,SVM,0.7677898343803541,0.059589122519010496,0.41444875776397516,0.12391427033593053,0.5099415204678361,0.06418378420322281,0.448477717279913,0.08503588699993025,0.7420109915311153,0.03387717015853223,0.452984768319174,0.06097111244959199
72,tidied_integrated_df_10,RandomForest,0.83034456501047,0.026335017573940578,0.5513492063492065,0.09260704346794592,0.38304093567251457,0.13915179794740276,0.43452192705039006,0.12001948865013885,0.7969475568004981,0.044603425949643616,0.5003160246868104,0.050660555253376996
73,tidied_integrated_df_10,XGBoost,0.8128688368551303,0.015564442162022176,0.46447368421052626,0.0569905469150203,0.42690058479532167,0.14547187687238472,0.4357307683623473,0.11423308648067516,0.7747645256933182,0.031034739666638618,0.46008673893441127,0.0725229666888954
74,tidied_integrated_df_10,LogisticRegression,0.7580620597753664,0.05807692525495417,0.4004895302773062,0.08075710099616701,0.5883040935672514,0.09497119234770476,0.47002160717408137,0.07204473746917589,0.7509755598145691,0.05154336572817549,0.41895559211404443,0.07153597980507764
75,tidied_integrated_df_10,NaiveBayes,0.33531315438796877,0.026167688287587233,0.18975940544567993,0.007859156513207689,0.8263157894736842,0.018731716231633874,0.30851638252736874,0.010280531382738132,0.6817912428129146,0.061758954543589185,0.4067100170732466,0.09991788665688706
